key,source_sha256,it
74795188,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
79295902,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
93522198,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
94850760,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
102824283,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
103804646,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
109974408,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
112570688,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
115175846,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
133784723,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
1086849463,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
1107529913,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
1119311093,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
1170802911,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
1210212447,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
1239520668,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
1239899435,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
1248836084,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
1270314395,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
1332821207,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
1409830560,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
1421959106,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
1463076979,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
1466949353,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
1474561258,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
1504288844,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
1520880312,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
1566779672,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
1587819470,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
1618674444,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
1621592353,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
1634980685,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
1640395169,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
1753945974,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
1757093246,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
1765854589,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
1797386332,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
1820713066,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
1857515090,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
1859018683,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
1886702475,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
1945574745,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
1980548635,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
1990476984,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
2008842639,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
2026985692,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
2042284975,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
2044239743,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
2098551028,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
2115798107,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
2127130374,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
2131311599,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
2132405626,3604939aaf07850795d6da37a17879ca1d1ad721df4abb9eca211bc5572800b4,Morphling
1073747461,4da2232ffe46f209c50d31ee98c4f16618a4e57c41126d0374c23694026b82d3,Collaborare?
1073748931,0744f761345b83e3bcd27586b7227fe6e5f5f352c794b163c49dc29a7d6f2a9a,"Ah, è così. In vista del prossimo Concorso di Stile, anch’io dovrò prendermi cura del mio Aniimo."
1073751003,2262f79a2466c46ed2669df9f9fb77e791eda47440b0b5036216b1bd86a57a2f,Grano Colorato Enorme
1094774226,2262f79a2466c46ed2669df9f9fb77e791eda47440b0b5036216b1bd86a57a2f,Grano Colorato Enorme
1444013107,2262f79a2466c46ed2669df9f9fb77e791eda47440b0b5036216b1bd86a57a2f,Grano Colorato Enorme
2077412276,2262f79a2466c46ed2669df9f9fb77e791eda47440b0b5036216b1bd86a57a2f,Grano Colorato Enorme
2114226967,2262f79a2466c46ed2669df9f9fb77e791eda47440b0b5036216b1bd86a57a2f,Grano Colorato Enorme
1073753127,850c9fc263ae60168ddf692778d6e0657244cc51f3b7662633bdd05ef8623cf0,"Se hai del tempo libero, fai un giro. Ha viaggiato per tutta questa terra, raccogliendo molti colori qui intorno."
1073767394,4cd14d8d60780e1c8e2d0b8747c320bbbee3e6626c00accef9a226b8f5790dd0,"Un dispositivo che simula la luce del sole, così piante e Aniimo possono godersi un bagno di sole."
2036968889,4cd14d8d60780e1c8e2d0b8747c320bbbee3e6626c00accef9a226b8f5790dd0,"Un dispositivo che simula la luce del sole, così piante e Aniimo possono godersi un bagno di sole."
2134764257,4cd14d8d60780e1c8e2d0b8747c320bbbee3e6626c00accef9a226b8f5790dd0,"Un dispositivo che simula la luce del sole, così piante e Aniimo possono godersi un bagno di sole."
1073799556,95625cc913347581cf876486b8c49d4cd88c2d6c1306cf232cd7690a519749e8,Completa missione: Guerriero
1337009455,95625cc913347581cf876486b8c49d4cd88c2d6c1306cf232cd7690a519749e8,Completa missione: Guerriero
2051093667,95625cc913347581cf876486b8c49d4cd88c2d6c1306cf232cd7690a519749e8,Completa missione: Guerriero
1073824660,4365d78f174d8bb635e91c2e11a59090323fad2ab1093e5c0930e3d9db7162a8,Hai esaurito le aperture giornaliere dei Doni del Raccolto. Torna domani per continuare le attività di raccolta.
1073825313,9ce37d5942f48565f1ffd5244196a45e0e58b65273e7664525078bdd8cba67a2,Pastore Miope
1589618127,9ce37d5942f48565f1ffd5244196a45e0e58b65273e7664525078bdd8cba67a2,Pastore Miope
1770577164,9ce37d5942f48565f1ffd5244196a45e0e58b65273e7664525078bdd8cba67a2,Pastore Miope
1798282226,9ce37d5942f48565f1ffd5244196a45e0e58b65273e7664525078bdd8cba67a2,Pastore Miope
1961518834,9ce37d5942f48565f1ffd5244196a45e0e58b65273e7664525078bdd8cba67a2,Pastore Miope
1073837110,2dbb77b0ac0d0bf699c13a43e5064787969f8e5d4380f9a2b4514518799e8607,Cappello di Paglia del Navigante
1188362377,2dbb77b0ac0d0bf699c13a43e5064787969f8e5d4380f9a2b4514518799e8607,Cappello di Paglia del Navigante
1310674328,2dbb77b0ac0d0bf699c13a43e5064787969f8e5d4380f9a2b4514518799e8607,Cappello di Paglia del Navigante
1073839356,28e731eedbf0d7af9b65f27898749dfc0e1eb31fb6c7cfb38f96de46d1c1e817,Lampone Rosso
1142450313,28e731eedbf0d7af9b65f27898749dfc0e1eb31fb6c7cfb38f96de46d1c1e817,Lampone Rosso
1837948653,28e731eedbf0d7af9b65f27898749dfc0e1eb31fb6c7cfb38f96de46d1c1e817,Lampone Rosso
1073851808,d17d84a604994b722db37b35860b1ac7e8d9e43e725d0eb50702a9f7228a2999,Esci
1086047878,d17d84a604994b722db37b35860b1ac7e8d9e43e725d0eb50702a9f7228a2999,Esci
1096133332,d17d84a604994b722db37b35860b1ac7e8d9e43e725d0eb50702a9f7228a2999,Esci
1104302082,d17d84a604994b722db37b35860b1ac7e8d9e43e725d0eb50702a9f7228a2999,Esci
1126190430,d17d84a604994b722db37b35860b1ac7e8d9e43e725d0eb50702a9f7228a2999,Esci
1150103199,d17d84a604994b722db37b35860b1ac7e8d9e43e725d0eb50702a9f7228a2999,Esci
1202225491,d17d84a604994b722db37b35860b1ac7e8d9e43e725d0eb50702a9f7228a2999,Esci
1214683486,d17d84a604994b722db37b35860b1ac7e8d9e43e725d0eb50702a9f7228a2999,Esci
1270810488,d17d84a604994b722db37b35860b1ac7e8d9e43e725d0eb50702a9f7228a2999,Esci
1290209792,d17d84a604994b722db37b35860b1ac7e8d9e43e725d0eb50702a9f7228a2999,Esci
1298809173,d17d84a604994b722db37b35860b1ac7e8d9e43e725d0eb50702a9f7228a2999,Esci
1322436426,d17d84a604994b722db37b35860b1ac7e8d9e43e725d0eb50702a9f7228a2999,Esci
1350823911,d17d84a604994b722db37b35860b1ac7e8d9e43e725d0eb50702a9f7228a2999,Esci
1386268877,d17d84a604994b722db37b35860b1ac7e8d9e43e725d0eb50702a9f7228a2999,Esci
1407557495,d17d84a604994b722db37b35860b1ac7e8d9e43e725d0eb50702a9f7228a2999,Esci
1407591620,d17d84a604994b722db37b35860b1ac7e8d9e43e725d0eb50702a9f7228a2999,Esci
1428008808,d17d84a604994b722db37b35860b1ac7e8d9e43e725d0eb50702a9f7228a2999,Esci
1482488620,d17d84a604994b722db37b35860b1ac7e8d9e43e725d0eb50702a9f7228a2999,Esci
1483929798,d17d84a604994b722db37b35860b1ac7e8d9e43e725d0eb50702a9f7228a2999,Esci
1494013236,d17d84a604994b722db37b35860b1ac7e8d9e43e725d0eb50702a9f7228a2999,Esci
1516071810,d17d84a604994b722db37b35860b1ac7e8d9e43e725d0eb50702a9f7228a2999,Esci
1519573442,d17d84a604994b722db37b35860b1ac7e8d9e43e725d0eb50702a9f7228a2999,Esci
